Pool ID: 0, LP token: 0x06da0fd433C1A5d7a4faa01111c044910A184553 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xdAC17F958D2ee523a2206206994597C13D831ec7 (is WETH: False)
Pool ID: 90, LP token: 0xD8B8B575c943f3d63638c9563B464D204ED8B710 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x07150e919B4De5fD6a63DE1F9384828396f25fDC (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 91, LP token: 0xc2B0F2A7F736d3b908BdDE8608177c8Fc28C1690 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x3A880652F47bFaa771908C07Dd8673A787dAEd3A (is WETH: False), Token 1: 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 (is WETH: False)
Pool ID: 92, LP token: 0xB2C29e311916a346304f83AA44527092D5bd4f0F (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x8888801aF4d980682e47f1A9036e589479e835C5 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 93, LP token: 0x98c2f9D752e044DC2e1F1743bF0b76A7096eCeb2 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xdAC17F958D2ee523a2206206994597C13D831ec7 (is WETH: False), Token 1: 0xf8C3527CC04340b208C854E985240c02F7B7793f (is WETH: False)
Pool ID: 94, LP token: 0x8C2e6A4af15C94cF4a86Cd3C067159F08571d780 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xE4AE84448DB5CFE1DaF1e6fb172b469c161CB85F (is WETH: False)
Pool ID: 95, LP token: 0xfCEAAf9792139BF714a694f868A215493461446D (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x4C19596f5aAfF459fA38B0f7eD92F11AE6543784 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 96, LP token: 0xf55C33D94150d93c2cfb833bcCA30bE388b14964 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xa1faa113cbE53436Df28FF0aEe54275c13B40975 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 97, LP token: 0xcA658217CE94dFB2156a49a8fAd0Ff752CaC39C2 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x7cA4408137eb639570F8E647d9bD7B7E8717514A (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 98, LP token: 0x71817445D11f42506F2D7F54417c935be90Ca731 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xcBc1065255cBc3aB41a6868c22d1f1C573AB89fd (is WETH: False)
Pool ID: 99, LP token: 0xb1D38026062Ac10FEDA072CA0E9b7E35f1f5795a (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x5BC25f649fc4e26069dDF4cF4010F9f706c23831 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 100, LP token: 0x201e6a9E75df132a8598720433Af35fe8d73e94D (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xa117000000f279D81A1D3cc75430fAA017FA5A2e (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 101, LP token: 0x66Ae32178640813F3c32a9929520BFE4Fef5D167 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x4688a8b1F292FDaB17E9a90c8Bc379dC1DBd8713 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Problem with pool 102 -- ValueError('execution reverted: ')
Pool ID: 103, LP token: 0x9a13867048e01c663ce8Ce2fE0cDAE69Ff9F35E3 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599 (is WETH: False), Token 1: 0x798D1bE841a82a273720CE31c822C61a67a601C3 (is WETH: False)
Pool ID: 104, LP token: 0x31d64f9403E82243e71C2af9D8F56C7DBe10C178 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x87d73E916D7057945c9BcD8cdd94e42A6F47f776 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 105, LP token: 0xA8AEC03d5Cf2824fD984ee249493d6D4D6740E61 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x0b38210ea11411557c13457D4dA7dC6ea731B88a (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 106, LP token: 0x8Cd7DADc8E11c8706763E0DE7332f5Ea91E04E35 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xfFffFffF2ba8F66D4e51811C5190992176930278 (is WETH: False)
Pool ID: 107, LP token: 0x51F5953659e7d63CF0EF60B8674eF819c225169e (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x0316EB71485b0Ab14103307bf65a021042c6d380 (is WETH: False), Token 1: 0x2ba592F78dB6436527729929AAf6c908497cB200 (is WETH: False)
Pool ID: 108, LP token: 0x54bcf4948e32A8706C286416e3ced37284F17fc9 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x66C0DDEd8433c9EA86C8cf91237B14e10b4d70B7 (is WETH: False), Token 1: 0xdAC17F958D2ee523a2206206994597C13D831ec7 (is WETH: False)
Pool ID: 109, LP token: 0xC558F600B34A5f69dD2f0D06Cb8A88d829B7420a (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 110, LP token: 0x87bF6386f7611aFa452c642C2835a305a692607d (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x3449FC1Cd036255BA1EB19d65fF4BA2b8903A69a (is WETH: False), Token 1: 0xC36824905dfF2eAAEE7EcC09fCC63abc0af5Abc5 (is WETH: False)
Pool ID: 111, LP token: 0xBE1E98685fB293144325440C16f69954Ffcb790C (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xDb0f18081b505A7DE20B18ac41856BCB4Ba86A1a (is WETH: False)
Pool ID: 112, LP token: 0x760166FA4f227dA29ecAC3BeC348f5fA853a1f3C (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x0000000000085d4780B73119b644AE5ecd22b376 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 113, LP token: 0x7B98e476De2c50b6fa284DBd410Dd516f9a72b30 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x27702a26126e0B3702af63Ee09aC4d1A084EF628 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 114, LP token: 0x02C6260cE42Ea5cD055911ed0D4857eCD4583740 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x42d6622deCe394b54999Fbd73D108123806f6a18 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 115, LP token: 0x663242D053057f317A773D7c262B700616d0b9A0 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 116, LP token: 0x0Eee7f7319013df1f24F5eaF83004fCf9cF49245 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x374CB8C27130E2c9E04F44303f3c8351B9De61C1 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 117, LP token: 0x18A797C7C70c1Bf22fDee1c09062aBA709caCf04 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xD291E7a03283640FDc51b121aC401383A46cC623 (is WETH: False)
Pool ID: 118, LP token: 0xA7f11E026a0Af768D285360a855F2BDEd3047530 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x875773784Af8135eA0ef43b5a374AaD105c5D39e (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 119, LP token: 0x2ee59d346e41478B9DC2762527fACF2082022A29 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xdAC17F958D2ee523a2206206994597C13D831ec7 (is WETH: False), Token 1: 0xE95A203B1a91a908F9B9CE46459d101078c2c3cb (is WETH: False)
Pool ID: 120, LP token: 0x22DEF8cF4E481417cb014D9dc64975BA12E3a184 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x73968b9a57c6E53d41345FD57a6E6ae27d6CDB2F (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 121, LP token: 0x41328fdBA556c8C969418ccCcB077B7B8D932aA5 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x6810e776880C02933D47DB1b9fc05908e5386b96 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 122, LP token: 0xFa8C3F98dEBF3d0a192e2EdF9182352332Def35c (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x3449FC1Cd036255BA1EB19d65fF4BA2b8903A69a (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 123, LP token: 0xfa5bc40c3BD5aFA8bC2fe6b84562fEE16FB2Df5F (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xE95A203B1a91a908F9B9CE46459d101078c2c3cb (is WETH: False)
Problem with pool 124 -- ValueError('execution reverted: ')
Problem with pool 125 -- ValueError('execution reverted: ')
Problem with pool 126 -- ValueError('execution reverted: ')
Pool ID: 127, LP token: 0x17A2194D55f52Fd0C711e0e42B41975494bb109B (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x1337DEF16F9B486fAEd0293eb623Dc8395dFE46a (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 128, LP token: 0x46ACb1187a6d83e26c0bB46A57Ffeaf23Ad7851E (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xFA2562da1Bba7B954f26C74725dF51fb62646313 (is WETH: False)
Pool ID: 129, LP token: 0xf79a07cd3488BBaFB86dF1bAd09a6168D935c017 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xa1faa113cbE53436Df28FF0aEe54275c13B40975 (is WETH: False), Token 1: 0xeEa3311250FE4c3268F8E684f7C87A82fF183Ec1 (is WETH: False)
Pool ID: 130, LP token: 0xb46736888247C68C995B156CA86426ff32e27Cc9 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x3832d2F059E55934220881F831bE501D180671A7 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 131, LP token: 0x0C48aE092A7D35bE0e8AD0e122A02351BA51FeDd (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x8A9c4dfe8b9D8962B31e4e16F8321C44d48e246E (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 132, LP token: 0x10B47177E92Ef9D5C6059055d92DdF6290848991 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xc5bDdf9843308380375a611c18B50Fb9341f502A (is WETH: False)
Pool ID: 133, LP token: 0xb270176bA6075196dF88B855c3Ec7776871Fdb33 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x77777FeDdddFfC19Ff86DB637967013e6C6A116C (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 134, LP token: 0xf5A434FbAA1C00b33Ea141122603C43dE86cc9FE (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x945Facb997494CC2570096c74b5F66A3507330a1 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 135, LP token: 0x132eEb05d5CB6829Bd34F552cDe0b6b708eF5014 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x1b40183EFB4Dd766f11bDa7A7c3AD8982e998421 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 136, LP token: 0xBbfd9B37ec6ea1cA612AB4ADef6d8c6ece1a4134 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xDcB01cc464238396E213a6fDd933E36796eAfF9f (is WETH: False)
Pool ID: 137, LP token: 0x1C615074c281c5d88ACc6914D408d7E71Eb894EE (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xDFe66B14D37C77F4E9b180cEb433d1b164f0281D (is WETH: False)
Pool ID: 138, LP token: 0x96F5b7C2bE10dC7dE02Fa8858A8f1Bd19C2fA72A (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x0f51bb10119727a7e5eA3538074fb341F56B09Ad (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 139, LP token: 0x7B504a15ef05F4EED1C07208C5815c49022A0C19 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xc944E90C64B2c07662A292be6244BDf05Cda44a7 (is WETH: False)
Pool ID: 140, LP token: 0x0E26A21013f2F8C0362cFae608b4e69a249D5EFc (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x4E15361FD6b4BB609Fa63C81A2be19d873717870 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 141, LP token: 0xEc78bD3b23aC867FcC028f2db405A1d9A0A2f712 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xf99d58e463A2E07e5692127302C20A191861b4D6 (is WETH: False)
Pool ID: 142, LP token: 0x092493a22375DE1B17583D924aBf9e8bf884491C (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x9cea2eD9e47059260C97d697f82b8A14EfA61EA5 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 143, LP token: 0xfd38565Ef22299D491055F0c508F62DD9a669F0F (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x0fe629d1E84E171f8fF0C1Ded2Cc2221Caa48a3f (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 144, LP token: 0x0267BD35789a5ce247Fff6CB1D597597e003cc43 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x69BbE2FA02b4D90A944fF328663667DC32786385 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 145, LP token: 0xCA2Ae9C5C491F497DC5625fEaef4572076C946C5 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x27Ffed7E5926Fb2795fC85aAab558243F280A8a2 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 146, LP token: 0x608f8af5fd49b5a5421f53f79920C45b96bdA83F (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x49706a576bb823cdE3180C930F9947d59e2deD4D (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 147, LP token: 0xd54A895623552853F8D673981CC32EB8f3929dFB (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xAB9c92A9337A1494C6D545E48187Fa37144403c8 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 148, LP token: 0x0E7E8Dde18e4016ccc15F12301a47eF7B87Bdafa (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xF18ade29a225fAa555e475eE01F9Eb66eb4a3a74 (is WETH: False)
Pool ID: 149, LP token: 0xF39fF863730268C9bb867b3a69d031d1C1614b31 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xABe580E7ee158dA464b51ee1a83Ac0289622e6be (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 150, LP token: 0x0BC5AE46c32D99C434b7383183ACa16DD6E9BdC8 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xE41d2489571d322189246DaFA5ebDe1F4699F498 (is WETH: False)
Pool ID: 151, LP token: 0x3cf1Cf47Bc87C23cD9410549BD8a75E82C1c73cF (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x674C6Ad92Fd080e4004b2312b45f796a192D27a0 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 152, LP token: 0xA3DfbF2933FF3d96177bde4928D0F5840eE55600 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xA487bF43cF3b10dffc97A9A744cbB7036965d3b9 (is WETH: False), Token 1: 0xdAC17F958D2ee523a2206206994597C13D831ec7 (is WETH: False)
Pool ID: 153, LP token: 0x93E2F3a8277E0360081547D711446e4a1F83546D (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x6399C842dD2bE3dE30BF99Bc7D1bBF6Fa3650E70 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 154, LP token: 0x938625591ADb4e865b882377e2c965F9f9b85E34 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x24A6A37576377F63f194Caa5F518a60f45b42921 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 155, LP token: 0x38A0469520534fC70c9C0b9DE4B8649e36A2aE3E (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x3E9BC21C9b189C09dF3eF1B824798658d5011937 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 156, LP token: 0x8486c538DcBD6A707c5b3f730B6413286FE8c854 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xbC396689893D065F41bc2C6EcbeE5e0085233447 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 157, LP token: 0x9c86BC3C72Ab97c2234CBA8c6c7069009465AE86 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x2B89bF8ba858cd2FCee1faDa378D5cd6936968Be (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 158, LP token: 0xB0484fB3aC155AaF7d024b20f1a569ddD6332c32 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x1456688345527bE1f37E9e627DA0837D6f08C925 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 159, LP token: 0xFe308FE2Eb938F772807AEc2E87Fc762d47c40E0 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x1456688345527bE1f37E9e627DA0837D6f08C925 (is WETH: False), Token 1: 0x92E187a03B6CD19CB6AF293ba17F2745Fd2357D5 (is WETH: False)
Pool ID: 160, LP token: 0xD3c41c080a73181e108E0526475a690F3616a859 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x5F64Ab1544D28732F0A24F4713c2C8ec0dA089f0 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Problem with pool 161 -- ValueError('execution reverted: ')
Pool ID: 162, LP token: 0x1803a3386d44f65746403060aB0137682F554484 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x7BD198b9107496fD5cC3d7655AF52f43a8eDBc4C (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 163, LP token: 0x05Cc2e064e0B48e46015EAd9961F1391d74E5F83 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x297D33e17e61C2Ddd812389C2105193f8348188a (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 164, LP token: 0x75382c52b6F90B3f8014BfcadAC2386513F1e3bC (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x607F4C5BB672230e8672085532f7e901544a7375 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 165, LP token: 0xF9440fEDC72A0B8030861DcDac39A75b544E7A3c (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 166, LP token: 0x0a54d4b378C8dBfC7bC93BE50C85DebAFdb87439 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 167, LP token: 0x87B6f3A2DC6E541A9ce40E58f517953782Ae614E (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x9ba60bA98413A60dB4C651D4afE5C937bbD8044B (is WETH: False), Token 1: 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 (is WETH: False)
Pool ID: 168, LP token: 0x90825ADd1AD30d7DCeFEa12c6704A192be6eE94E (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x69BbE2FA02b4D90A944fF328663667DC32786385 (is WETH: False), Token 1: 0x87d73E916D7057945c9BcD8cdd94e42A6F47f776 (is WETH: False)
Pool ID: 169, LP token: 0x31fa985bB0C282a814E7f3f0Dce88B2A44197F60 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x69af81e73A73B40adF4f3d4223Cd9b1ECE623074 (is WETH: False), Token 1: 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 (is WETH: False)
Pool ID: 170, LP token: 0xf13eEF1C6485348B9C9FA0d5Df2d89AccC5b0147 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a (is WETH: False)
Pool ID: 171, LP token: 0x5e496B7D72362ADd1EEA7D4903Ee2732cD00587d (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x99fE3B1391503A1bC1788051347A1324bff41452 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 172, LP token: 0xBE71372995E8e920E4E72a29a51463677A302E8d (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x888888435FDe8e7d4c54cAb67f206e4199454c60 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 173, LP token: 0x328dFd0139e26cB0FEF7B0742B49b0fe4325F821 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 174, LP token: 0xB5c40E038c997c2946B24dC179F7CdcD279d8847 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x160B1E5aaBFD70B2FC40Af815014925D71CEEd7E (is WETH: False), Token 1: 0xDFe66B14D37C77F4E9b180cEb433d1b164f0281D (is WETH: False)
Pool ID: 175, LP token: 0xeE35E548C7457FcDd51aE95eD09108be660Ea374 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x967da4048cD07aB37855c090aAF366e4ce1b9F48 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 176, LP token: 0xf5ca27927Ffb16BD8C870Dcb49750146CCe8217c (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x4691937a7508860F876c9c0a2a617E7d9E945D4B (is WETH: False), Token 1: 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 (is WETH: False)
Pool ID: 177, LP token: 0x91A48c69Ec3f3cE855FE5054F82D2bef8Fd66C43 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xcb46C550539ac3DB72dc7aF7c89B11c306C727c2 (is WETH: False), Token 1: 0xDb0f18081b505A7DE20B18ac41856BCB4Ba86A1a (is WETH: False)
Pool ID: 178, LP token: 0xa1f967F25AE32bD3435E45EA8657De16Ce5A4Ae6 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x0AbdAce70D3790235af448C88547603b945604ea (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 179, LP token: 0x9E48FaDf799E0513d2EF4631478ea186741fA617 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x91Af0fBB28ABA7E31403Cb457106Ce79397FD4E6 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
